MO,MA,SD,RF,bitrate,freq,mag
36146130.0,2409742.0,2409742.0,1880774.243902439,2.409742,2.8125,0.0
36146130.0,2409742.0,2409742.0,2251437.7810218977,2.409742,0.703125,0.0
28120742.0,1931486.434065934,1610085.2266266642,1899614.5993155933,2.075477,0.92578125,0.465392
22107015.0,1473801.0,1473801.0,1440462.178104419,1.473801,0.2314453125,0.0
19159413.0,1473801.0,1473801.0,1465322.449692939,1.473801,0.057861328125,0.0
11560791.0,1000242.6,905119.9773411728,1015622.2034984266,1.093263,0.76446533203125,0.188143
4014268.0,362085.1777777778,300906.2186286018,370893.0675642694,0.433615,1.6911163330078125,0.132709
1925419.0,262263.28571428574,248746.99620596477,254777.512016673,0.284657,1.1727790832519531,0.03591
3592646.0,156404.75263157894,60974.97793381076,129090.38518694771,0.200647,5.543194770812988,0.139672
